StoryID,TokenID,Annotator_Agreement,is_last,word_length,is_capitalized,is_function_word,pos_tag,dep_tag,tag,raw_frequency,language_model_score,sentence_position,num_syllables,syllables_since_last_major_boundary_child,syllables_remaining_till_breath_child,breath_pause_flag_child,cluster_id,tree_depth,tree_width,depth_in_tree,distance_from_root,smallest_constituent_label,smallest_constituent_length,is_constituent_chunk_end,distance_from_phrase_head,forward_position,backward_position,min_span_tree_label_with_next,min_span_tree_length_with_next
G7S1,G7010001,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-5.367711544,1,1,1,6,0,1,14,16,3,3,S,16,1,0,0,15,S,16
G7S1,G7010002,0,FALSE,3,FALSE,TRUE,AUX,ROOT,VBD,130,-0.09113872796,2,1,2,5,0,0,14,16,3,3,VP,14,0,0,0,13,VP,14
G7S1,G7010003,0,FALSE,2,FALSE,TRUE,DET,det,DT,21,-0.006511779036,3,1,3,4,0,0,14,16,5,5,NP,2,0,0,0,1,NP,2
G7S1,G7010004,7,FALSE,8,TRUE,FALSE,PROPN,attr,NNP,2,-2.12795186,4,4,0,0,1,0,14,16,5,5,NP,2,1,1,1,0,NP,13
G7S1,G7010005,0,FALSE,3,FALSE,TRUE,PRON,nsubj,WP,28,-0.4372757375,5,1,1,6,0,0,14,16,6,6,SBAR,11,0,0,0,10,SBAR,11
G7S1,G7010006,0,FALSE,3,FALSE,TRUE,AUX,aux,VBD,68,-0.003763023997,6,1,2,5,0,0,14,16,7,7,S,10,0,0,0,9,VP,10
G7S1,G7010007,0,FALSE,4,FALSE,TRUE,ADV,advmod,RB,9,-0.2790737152,7,1,3,4,0,0,14,16,8,8,S,10,0,1,1,8,VP,10
G7S1,G7010008,0,FALSE,7,FALSE,FALSE,VERB,relcl,VBN,6,-0.5131564736,8,2,5,2,0,0,14,16,8,8,VP,8,0,0,0,7,VP,8
G7S1,G7010009,3,FALSE,7,FALSE,FALSE,VERB,xcomp,VBG,3,-2.677184105,9,2,0,0,1,0,14,16,10,10,S,7,0,0,0,6,VP,7
G7S1,G7010010,0,FALSE,2,FALSE,TRUE,ADP,prep,IN,164,-0.03143438697,10,1,1,6,0,0,14,16,11,11,PP,2,0,0,1,3,PP,6
G7S1,G7010011,0,FALSE,1,FALSE,TRUE,DET,det,DT,222,-0.01530744601,11,1,2,5,0,0,14,16,13,13,NP,3,0,0,0,2,NP,3
G7S1,G7010012,0,FALSE,5,FALSE,FALSE,ADJ,amod,JJ,9,-0.5247237682,12,1,3,4,0,0,14,16,13,13,NP,3,0,1,1,1,NP,3
G7S1,G7010013,3,FALSE,7,FALSE,FALSE,NOUN,pobj,NN,6,-3.599219084,13,2,5,2,0,0,14,16,13,13,NP,3,1,2,2,0,PP,6
G7S1,G7010014,0,FALSE,2,FALSE,TRUE,ADP,prep,IN,164,-0.01586634107,14,1,6,1,0,0,14,16,11,11,PP,2,0,0,0,1,PP,6
G7S1,G7010015,6,TRUE,7,TRUE,FALSE,PROPN,pobj,NNP,1,-11.19595623,15,3,0,0,1,4,14,16,14,14,PP,2,1,5,1,0,S,16
G7S1,G7010016,0,FALSE,1,TRUE,TRUE,PRON,nsubjpass,PRP,35,-0.003113900311,1,1,1,6,0,1,8,19,4,4,SBAR,5,1,0,0,4,S,7
G7S1,G7010017,0,FALSE,3,FALSE,TRUE,AUX,auxpass,VBD,130,-0.1429464668,2,1,2,5,0,0,8,19,4,4,VP,6,0,0,0,5,VP,6
G7S1,G7010018,0,FALSE,4,FALSE,TRUE,VERB,ROOT,VBN,7,-1.537059903,3,1,3,4,0,0,8,19,5,5,VP,5,0,0,0,4,VP,5
G7S1,G7010019,0,FALSE,2,FALSE,TRUE,ADP,prep,IN,229,-0.0003317044466,4,1,4,3,0,0,8,19,6,6,PP,4,0,0,0,3,PP,4
G7S1,G7010020,0,FALSE,2,FALSE,TRUE,DET,det,DT,21,-0.2225876004,5,1,5,2,0,0,8,19,7,7,NP,3,0,0,0,2,NP,3
G7S1,G7010021,0,FALSE,6,FALSE,FALSE,ADJ,amod,JJ,1,-4.116733551,6,2,0,0,1,0,8,19,7,7,NP,3,0,1,1,1,NP,3
G7S1,G7010022,7,FALSE,4,FALSE,FALSE,NOUN,pobj,NN,6,-2.525892496,7,1,1,6,0,0,8,19,7,7,NP,3,1,2,2,0,S,19
G7S1,G7010023,0,FALSE,3,FALSE,TRUE,CCONJ,cc,CC,239,-8.406066895,9,1,2,5,0,3,8,19,2,2,S,19,0,8,8,10,S,19
G7S1,G7010024,6,FALSE,4,FALSE,FALSE,ADV,advmod,RB,7,-12.22406292,10,1,3,4,0,3,8,19,4,4,S,9,0,0,0,8,S,19
G7S1,G7010025,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-0.004640761297,12,1,4,3,0,1,8,19,4,4,SBAR,5,1,0,0,4,S,19
G7S1,G7010026,1,FALSE,4,FALSE,FALSE,VERB,conj,VBD,6,-12.70692635,13,1,5,2,0,0,8,19,4,4,VP,6,0,0,0,5,S,19
G7S1,G7010027,0,FALSE,1,TRUE,TRUE,PRON,nsubj,PRP,35,-12.03775024,14,1,6,1,0,1,8,19,4,4,SBAR,5,1,0,0,4,S,19
G7S1,G7010028,1,FALSE,6,FALSE,FALSE,VERB,ccomp,VBD,3,-6.338891983,15,2,0,0,1,0,8,19,7,7,VP,4,0,0,0,3,VP,4
G7S1,G7010029,0,FALSE,4,FALSE,TRUE,DET,det,DT,31,-18.72758102,16,1,1,6,0,0,8,19,8,8,NP,3,0,0,0,2,NP,3
