StoryID,TokenID,Masked_Word,C1,C2,C3,C4,C5,C6,C7,GT,GT_isboundary,GT_boundary_forbidden
G3S7,G3070001,Have,0,0,0,0,0,0,0,0,0,1
G3S7,G3070002,you,0,0,0,1,0,0,0,1,0,0
G3S7,G3070003,seen,0,0,0,0,0,0,0,0,0,1
G3S7,G3070004,a,0,0,0,0,0,0,0,0,0,1
G3S7,G3070005,<object>,0,1,1,1,1,1,1,6,1,0
G3S7,G3070006,which,0,0,0,0,0,0,0,0,0,1
G3S7,G3070007,is,0,0,1,1,0,0,0,2,0,0
G3S7,G3070008,as,0,0,0,0,0,0,0,0,0,1
G3S7,G3070009,<weighty>,1,0,0,1,1,1,1,5,1,0
G3S7,G3070010,as,0,0,0,0,0,0,0,0,0,1
G3S7,G3070011,<number>,0,0,1,0,0,0,0,1,0,0
G3S7,G3070012,or,0,0,0,0,0,0,0,0,0,1
G3S7,G3070013,<number>,0,0,0,1,0,0,0,1,0,0
G3S7,G3070014,<unit_of_measurement>?,1,1,1,0,1,1,1,6,1,0
G3S7,G3070015,Long,0,0,0,0,0,0,0,0,0,1
G3S7,G3070016,"ago,",1,1,1,0,1,1,1,6,1,0
G3S7,G3070017,there,0,0,0,1,0,0,0,1,0,0
G3S7,G3070018,was,0,0,0,0,0,0,0,0,0,1
G3S7,G3070019,a,0,0,0,0,0,0,0,0,0,1
G3S7,G3070020,<region>,0,0,1,0,0,1,0,2,0,0
G3S7,G3070021,called,0,0,0,1,0,0,0,1,0,0
G3S7,G3070022,<proper_noun>.,1,1,1,0,1,1,1,6,1,0
G3S7,G3070023,<Inhabitants>,0,0,0,0,0,0,0,0,0,1
G3S7,G3070024,living,0,0,0,0,0,0,0,0,0,1
G3S7,G3070025,there,0,1,1,0,1,1,1,5,1,0
G3S7,G3070026,were,0,0,0,0,0,0,0,0,0,1
G3S7,G3070027,called,0,0,0,0,0,0,0,0,0,1
G3S7,G3070028,<proper_noun>.,1,1,1,1,1,1,1,7,1,0
G3S7,G3070029,In,0,0,0,0,0,0,0,0,0,1
G3S7,G3070030,those,0,0,0,0,0,0,0,0,0,1
G3S7,G3070031,"<times>,",1,1,1,0,1,1,1,6,1,0
G3S7,G3070032,no,0,0,0,0,0,0,0,0,0,1
G3S7,G3070033,one,0,0,0,1,0,0,0,1,0,0
G3S7,G3070034,knew,0,0,1,0,0,1,1,3,0,0
G3S7,G3070035,how,1,0,0,0,0,0,0,1,0,0
G3S7,G3070036,to,0,0,0,0,0,0,0,0,0,1
G3S7,G3070037,<produce>,0,0,0,0,0,0,0,0,0,1
G3S7,G3070038,<object>.,1,1,1,1,1,1,1,7,1,0
G3S7,G3070039,"So,",1,1,1,1,1,0,0,5,1,0
G3S7,G3070040,the,0,0,0,0,0,0,0,0,0,1
G3S7,G3070041,<proper_noun>,0,0,1,0,0,0,1,2,0,0
G3S7,G3070042,<created>,0,0,0,1,0,1,0,2,0,0
G3S7,G3070043,<adjective_size>,0,0,0,0,0,0,0,0,0,1
G3S7,G3070044,<slabs>,1,1,0,1,1,1,1,6,1,0
G3S7,G3070045,out,0,0,0,0,0,0,0,0,0,1
G3S7,G3070046,of,0,0,0,0,0,0,0,0,0,1
G3S7,G3070047,<adjective_feel>,0,0,0,0,0,0,0,0,0,1
G3S7,G3070048,<material>.,1,1,1,0,1,1,1,6,1,0
G3S7,G3070049,They,0,0,0,0,0,0,0,0,0,1
G3S7,G3070050,<inscribed>,0,0,0,1,0,0,0,1,0,0
G3S7,G3070051,on,0,0,0,0,0,0,0,0,0,1
G3S7,G3070052,these,0,0,0,0,0,0,0,0,0,1
G3S7,G3070053,<slabs>,1,1,1,1,1,1,1,7,1,0
G3S7,G3070054,with,0,0,0,0,0,0,0,0,0,1
G3S7,G3070055,a,0,0,0,0,0,0,0,0,0,1
G3S7,G3070056,"<adjective_feel>,",1,1,1,1,0,1,1,6,1,0
G3S7,G3070057,<adjective_feel>,0,0,0,0,0,0,0,0,0,1
G3S7,G3070058,<instrument>.,1,1,1,0,1,1,1,6,1,0
G3S7,G3070059,Then,1,0,1,1,0,1,0,4,0,0
G3S7,G3070060,they,0,0,0,0,0,0,0,0,0,1
G3S7,G3070061,<placed>,0,0,0,0,0,0,0,0,0,1
G3S7,G3070062,the,0,0,0,1,0,0,0,1,0,0
G3S7,G3070063,<slabs>,0,0,0,0,1,1,0,2,0,0
G3S7,G3070064,out,0,0,0,0,0,0,1,1,0,0
G3S7,G3070065,in,0,0,0,0,0,0,0,0,0,1
G3S7,G3070066,the,0,0,0,1,0,0,0,1,0,0
G3S7,G3070067,<location>,1,1,1,0,1,1,1,6,1,0
G3S7,G3070068,or,0,0,0,0,0,0,0,0,0,1
G3S7,G3070069,in,0,0,0,1,0,0,0,1,0,0
G3S7,G3070070,the,0,0,0,0,0,0,0,0,0,1
G3S7,G3070071,"<location>,",1,1,1,0,1,1,1,6,1,0
G3S7,G3070072,till,0,0,0,1,0,0,0,1,0,0
G3S7,G3070073,they,0,0,0,0,0,0,0,0,0,1
G3S7,G3070074,were,0,0,0,0,0,0,0,0,0,1
G3S7,G3070075,<hardened>.,1,1,1,0,1,1,1,6,1,0
G3S7,G3070076,Each,0,0,0,1,0,0,0,1,0,0
G3S7,G3070077,of,0,0,0,0,0,0,0,0,0,1
G3S7,G3070078,those,0,0,0,0,0,0,0,0,0,1
