StoryID,TokenID,Masked_Word,B1,B2,B3,B4,B5,B6,B7,GT,GT_isboundary,GT_boundary_forbidden
G3S4,G3040001,<proper_name>,0,0,1,0,0,0,0,1,0,0
G3S4,G3040002,and,0,0,0,0,0,0,0,0,0,1
G3S4,G3040003,his,0,0,0,0,0,0,0,0,0,1
G3S4,G3040004,<companions>,0,1,1,1,1,0,1,5,1,0
G3S4,G3040005,were,0,0,0,0,0,0,0,0,0,1
G3S4,G3040006,<verb_action>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040007,in,0,0,0,0,0,0,0,0,0,1
G3S4,G3040008,the,0,0,0,0,0,0,0,0,0,1
G3S4,G3040009,<location>.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040010,They,0,0,0,0,0,0,0,0,0,1
G3S4,G3040011,were,0,0,0,0,0,0,0,0,0,1
G3S4,G3040012,<verb_action>,0,0,1,1,0,0,0,2,0,0
G3S4,G3040013,<game>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040014,and,0,0,0,0,0,0,0,0,0,1
G3S4,G3040015,<game>.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040016,<Proper_name>’s,0,0,0,0,0,0,0,0,0,1
G3S4,G3040017,<companions>,0,1,1,0,0,0,0,2,0,0
G3S4,G3040018,<concealed>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040019,themselves.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040020,It,0,0,0,0,0,0,0,0,0,1
G3S4,G3040021,was,0,0,0,0,0,0,0,0,0,1
G3S4,G3040022,<proper_name>,0,1,1,1,1,0,1,5,1,0
G3S4,G3040023,who,1,0,0,0,0,0,0,1,0,0
G3S4,G3040024,had,0,0,0,0,0,0,0,0,0,1
G3S4,G3040025,to,0,0,0,0,0,0,0,0,0,1
G3S4,G3040026,<search>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040027,for,0,0,0,0,0,0,0,0,0,1
G3S4,G3040028,them.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040029,"Soon,",1,1,1,1,1,1,1,7,1,0
G3S4,G3040030,he,0,0,0,0,0,0,0,0,0,1
G3S4,G3040031,<found>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040032,all,0,0,0,0,0,0,0,0,0,1
G3S4,G3040033,of,0,0,0,0,0,0,0,0,0,1
G3S4,G3040034,them,0,0,1,0,1,1,0,3,0,0
G3S4,G3040035,except,0,0,0,0,0,0,0,0,0,1
G3S4,G3040036,<proper_name>,1,1,1,1,1,1,1,7,1,0
G3S4,G3040037,Where,0,0,0,0,0,0,0,0,0,1
G3S4,G3040038,was,0,0,0,0,0,0,0,0,0,1
G3S4,G3040039,he?,1,1,1,1,1,1,1,7,1,0
G3S4,G3040040,<proper_name>,0,1,1,0,0,0,0,2,0,0
G3S4,G3040041,had,0,0,0,0,0,0,0,0,0,1
G3S4,G3040042,<verb_action>,0,0,1,0,0,0,0,1,0,0
G3S4,G3040043,a,0,0,0,0,0,0,0,0,0,1
G3S4,G3040044,<location>.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040045,He,0,0,0,0,0,0,0,0,0,1
G3S4,G3040046,was,0,0,0,0,0,0,0,0,0,1
G3S4,G3040047,<concealing>,0,0,1,0,0,0,0,1,0,0
G3S4,G3040048,among,0,0,0,0,0,0,0,0,0,1
G3S4,G3040049,the,0,0,0,0,0,0,0,0,0,1
G3S4,G3040050,<location>.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040051,Under,0,0,0,0,0,0,0,0,0,1
G3S4,G3040052,the,0,0,0,0,0,0,0,0,0,1
G3S4,G3040053,<location>,0,1,1,1,1,0,0,4,0,0
G3S4,G3040054,was,0,0,0,0,0,0,0,0,0,1
G3S4,G3040055,a,0,0,0,0,0,0,0,0,0,1
G3S4,G3040056,<adjective_size>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040057,<container>.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040058,It,0,0,0,0,0,0,0,0,0,1
G3S4,G3040059,was,0,0,0,0,0,0,0,0,0,1
G3S4,G3040060,<filled>,0,0,1,0,0,0,0,1,0,0
G3S4,G3040061,with,0,0,0,0,0,0,0,0,0,1
G3S4,G3040062,<liquid>.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040063,The,0,0,0,0,0,0,0,0,0,1
G3S4,G3040064,<noun>,0,0,1,0,0,0,0,1,0,0
G3S4,G3040065,began,0,0,0,0,0,0,0,0,0,1
G3S4,G3040066,<verb_action>,0,0,1,0,0,0,0,1,0,0
G3S4,G3040067,for,0,0,0,0,0,0,0,0,0,1
G3S4,G3040068,"<proper_name>,",1,1,1,1,1,1,1,7,1,0
G3S4,G3040069,asking,0,0,1,0,0,0,0,1,0,0
G3S4,G3040070,where,0,0,0,0,0,0,0,0,0,1
G3S4,G3040071,<pronoun>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040072,was.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040073,<proper_name>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040074,called,0,0,0,0,0,0,0,0,0,1
G3S4,G3040075,"back,",1,1,1,1,1,1,1,7,1,0
G3S4,G3040076,saying,0,0,1,0,0,0,0,1,0,0
G3S4,G3040077,that,0,0,0,0,0,0,0,0,0,1
G3S4,G3040078,he,0,0,0,0,0,0,0,0,0,1
G3S4,G3040079,was,0,0,0,0,0,0,0,0,0,1
G3S4,G3040080,<preposition>,0,0,0,0,0,0,0,0,0,1
G3S4,G3040081,the,0,0,0,0,0,0,0,0,0,1
G3S4,G3040082,<location>.,1,1,1,1,1,1,1,7,1,0
G3S4,G3040083,As,0,0,0,0,0,0,0,0,0,1
G3S4,G3040084,he,0,0,0,0,0,0,0,0,0,1
G3S4,G3040085,"<shifted>,",1,1,1,1,1,1,1,7,1,0
G3S4,G3040086,the,0,0,0,0,0,0,0,0,0,1
