StoryID,Token ID,Masked_Word,A1,A2,A3,A4,A5,A6,A7,GT,GT_isboundary,GT_boundary_forbidden
G3S1,G30100001,There,0,0,0,0,0,0,0,0,0,1
G3S1,G30100002,was,0,0,0,0,0,0,0,0,0,1
G3S1,G30100003,once,0,1,0,0,1,1,0,3,0,0
G3S1,G30100004,a,0,0,0,0,0,0,0,0,0,1
G3S1,G30100005,<adjective>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100006,<young_female>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100007,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100008,<resided>,0,1,0,0,0,1,0,2,0,0
G3S1,G30100009,in,0,0,0,0,0,0,0,0,0,1
G3S1,G30100010,a,0,0,0,0,0,0,0,0,0,1
G3S1,G30100011,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100012,<dwelling>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100013,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100014,had,0,0,0,0,0,0,0,0,0,1
G3S1,G30100015,everything.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100016,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100017,had,0,0,0,0,0,0,0,0,0,1
G3S1,G30100018,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100019,clothes.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100020,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100021,had,0,0,0,0,0,0,0,0,0,1
G3S1,G30100022,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100023,toys.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100024,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100025,had,0,0,0,0,0,0,0,0,0,1
G3S1,G30100026,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100027,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100028,food.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100029,But,1,1,0,0,1,1,0,4,0,0
G3S1,G30100030,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100031,<young_ female>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100032,never,0,0,0,0,0,0,0,0,0,1
G3S1,G30100033,smiled.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100034,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100035,was,0,0,0,0,0,0,0,0,0,1
G3S1,G30100036,always,0,0,0,0,0,0,0,0,0,1
G3S1,G30100037,<unhappy>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100038,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100039,was,0,1,0,0,0,0,0,1,0,0
G3S1,G30100040,a,0,0,0,0,0,0,0,0,0,1
G3S1,G30100041,<unhappy>,0,0,0,0,0,0,1,1,0,0
G3S1,G30100042,<adjective>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100043,<young_female>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100044,One,0,0,0,0,0,0,0,0,0,1
G3S1,G30100045,"<time>,",1,1,1,1,1,1,1,7,1,0
G3S1,G30100046,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100047,<unhappy>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100048,<adjective>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100049,<young_female>.,0,1,0,1,0,1,0,3,0,0
G3S1,G30100050,went,0,0,0,0,0,0,0,0,0,1
G3S1,G30100051,for,0,0,0,0,0,0,0,0,0,1
G3S1,G30100052,a,0,0,0,0,0,0,0,0,0,1
G3S1,G30100053,<stroll>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100054,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100055,went,0,0,0,0,0,0,0,0,0,1
G3S1,G30100056,to,0,0,0,0,0,0,0,0,0,1
G3S1,G30100057,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100058,<wooded_area>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100059,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100060,<moved>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100061,slowly.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100062,As,0,0,0,0,0,0,0,0,0,1
G3S1,G30100063,she,0,0,0,0,0,0,0,0,0,1
G3S1,G30100064,"<moved>,",1,1,1,1,1,1,1,7,1,0
G3S1,G30100065,she,0,0,0,0,0,0,0,0,0,1
G3S1,G30100066,<listened>,0,1,0,1,0,1,0,3,0,0
G3S1,G30100067,to,0,0,0,0,0,0,0,0,0,1
G3S1,G30100068,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100069,<sound>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100070,of,0,0,0,0,0,0,0,0,0,1
G3S1,G30100071,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100072,<air>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100073,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100074,<noticed>,0,1,0,0,0,0,0,1,0,0
G3S1,G30100075,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100076,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100077,sun.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100078,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100079,<noticed>,0,1,0,0,0,0,0,1,0,0
G3S1,G30100080,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100081,clouds,0,0,0,0,0,0,0,0,0,1
G3S1,G30100082,<verb_moving>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100083,by.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100084,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100085,<noticed>,0,1,0,0,0,0,0,1,0,0
G3S1,G30100086,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100087,<color>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100088,flowers.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100089,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100090,<noticed>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100091,the,0,0,0,0,0,0,0,0,0,1
G3S1,G30100092,<color>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100093,grass.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100094,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100095,<noticed>,0,1,0,0,0,1,1,3,0,0
G3S1,G30100096,how,0,0,0,0,0,0,0,0,0,1
G3S1,G30100097,<adjective_pos>,0,0,0,1,0,0,0,1,0,0
G3S1,G30100098,everything,0,0,0,0,0,0,0,0,0,1
G3S1,G30100099,was.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100100,And,0,0,0,0,0,0,0,0,0,1
G3S1,G30100101,she,0,1,0,0,0,0,0,1,0,0
G3S1,G30100102,began,0,0,0,0,0,0,0,0,0,1
G3S1,G30100103,to,0,0,0,0,0,0,0,0,0,1
G3S1,G30100104,<facial-expression>.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100105,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100106,<perception>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100107,at,0,0,0,0,0,0,0,0,0,1
G3S1,G30100108,everything.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100109,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100110,<auditory-action>,0,0,0,0,0,0,0,0,0,1
G3S1,G30100111,to,0,0,0,0,0,0,0,0,0,1
G3S1,G30100112,everything.,1,1,1,1,1,1,1,7,1,0
G3S1,G30100113,And,0,0,0,0,0,0,0,0,0,1
G3S1,G30100114,then,1,1,0,1,0,1,0,4,0,0
G3S1,G30100115,she,0,0,0,0,0,0,0,0,0,1
G3S1,G30100116,began,0,0,0,0,0,0,0,0,0,1
G3S1,G30100117,to,0,0,0,0,0,0,0,0,0,1
G3S1,G30100118,<vocal-expression>,1,1,1,1,1,1,1,7,1,0
G3S1,G30100119,And,0,0,0,0,0,0,0,0,0,1
G3S1,G30100120,she,0,0,0,0,0,0,0,0,0,1
G3S1,G30100121,<vocal-expression>,0,1,0,1,1,1,1,5,1,0
G3S1,G30100122,and,0,0,0,0,0,0,0,0,0,1
G3S1,G30100123,<vocal-expression>,0,1,0,1,1,1,1,5,1,0
G3S1,G30100124,and,0,0,0,0,0,0,0,0,0,1
G3S1,G30100125,<vocal-expression>,1,1,1,1,1,1,0,6,1,0
G3S1,G30100126,She,0,0,0,0,0,0,0,0,0,1
G3S1,G30100127,wasn't,0,0,0,0,0,0,0,0,0,1
G3S1,G30100128,<unhappy>,0,0,0,1,0,1,0,2,0,0
G3S1,G30100129,any,0,0,0,0,0,0,0,0,0,1
G3S1,G30100130,longer.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200001,"Long,",1,0,0,1,0,0,1,3,0,0
G3S2,G30200002,long,0,0,0,0,0,0,0,0,0,1
G3S2,G30200003,"ago,",1,1,0,1,1,1,1,6,1,0
G3S2,G30200004,the,0,0,0,0,0,0,0,0,0,1
G3S2,G30200005,<bird>,0,1,0,1,0,1,0,3,0,0
G3S2,G30200006,had,0,0,0,0,0,0,0,0,0,1
G3S2,G30200007,a,0,0,0,0,0,0,0,0,0,1
G3S2,G30200008,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200009,<sound>,0,0,0,1,0,1,1,3,0,0
G3S2,G30200010,and,0,0,0,0,0,0,0,0,0,1
G3S2,G30200011,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200012,feathers.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200013,Every,0,0,0,0,0,0,0,0,0,1
G3S2,G30200014,"day,",1,1,0,1,1,1,1,6,1,0
G3S2,G30200015,he,0,0,0,0,0,0,0,0,0,1
G3S2,G30200016,<strode>,0,0,0,0,0,1,0,1,0,0
G3S2,G30200017,in,0,0,0,0,0,0,0,0,0,1
G3S2,G30200018,front,0,0,0,0,0,0,0,0,0,1
G3S2,G30200019,of,0,0,0,0,0,0,0,0,0,1
G3S2,G30200020,all,0,0,0,0,0,0,0,0,0,1
G3S2,G30200021,the,0,0,0,0,0,0,0,0,0,1
G3S2,G30200022,other,0,0,0,0,0,0,0,0,0,1
G3S2,G30200023,<creatures>.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200024,He,0,0,0,0,0,0,0,0,0,1
G3S2,G30200025,<enjoyed>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200026,to,0,0,0,0,0,0,0,0,0,1
G3S2,G30200027,<display>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200028,off,0,0,0,1,0,1,0,2,0,0
G3S2,G30200029,his,0,0,0,0,0,0,0,0,0,1
G3S2,G30200030,<adjective_pos>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200031,feathers.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200032,The,0,0,0,0,0,0,0,0,0,1
G3S2,G30200033,<creatures>,0,0,0,1,0,0,0,1,0,0
G3S2,G30200034,always,0,0,0,0,0,0,0,0,0,1
G3S2,G30200035,<smiled>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200036,at,0,0,0,0,0,0,0,0,0,1
G3S2,G30200037,him.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200038,But,1,1,0,1,1,0,1,5,1,0
G3S2,G30200039,one,0,0,0,0,0,0,0,0,0,1
G3S2,G30200040,"day,",1,1,0,1,1,1,1,6,1,0
G3S2,G30200041,the,0,0,0,0,0,0,0,0,0,1
G3S2,G30200042,<creatures>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200043,were,0,0,0,0,0,0,0,0,0,1
G3S2,G30200044,<angered>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200045,with,0,0,0,0,0,0,0,0,0,1
G3S2,G30200046,him,1,1,0,1,1,1,0,5,1,0
G3S2,G30200047,because,0,0,0,0,0,0,1,1,0,0
G3S2,G30200048,he,0,0,0,0,0,0,0,0,0,1
G3S2,G30200049,was,0,0,0,0,0,0,0,0,0,1
G3S2,G30200050,"<arrogant>,",1,1,1,1,1,1,1,7,1,0
G3S2,G30200051,and,0,0,0,0,0,0,0,0,0,1
G3S2,G30200052,they,0,0,0,0,0,0,0,0,0,1
G3S2,G30200053,ran,0,0,0,0,0,0,0,0,0,1
G3S2,G30200054,away.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200055,The,0,0,0,0,0,0,0,0,0,1
G3S2,G30200056,<bird>,0,1,0,0,0,1,0,2,0,0
G3S2,G30200057,<cried_out>,0,0,0,1,1,0,0,2,0,0
G3S2,G30200058,and,0,0,0,0,0,0,0,0,0,1
G3S2,G30200059,<cried_out>,0,0,0,1,0,1,0,2,0,0
G3S2,G30200060,all,0,0,0,0,0,0,0,0,0,1
G3S2,G30200061,day,0,0,0,0,0,0,0,0,0,1
G3S2,G30200062,"long,",1,1,1,1,1,1,1,7,1,0
G3S2,G30200063,<wishing>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200064,for,0,0,0,0,0,0,0,0,0,1
G3S2,G30200065,them,0,0,0,0,0,1,0,1,0,0
G3S2,G30200066,to,0,0,0,0,0,0,0,0,0,1
G3S2,G30200067,<return>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200068,back.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200069,But,0,0,0,0,1,0,0,1,0,0
G3S2,G30200070,the,0,0,0,0,0,0,0,0,0,1
G3S2,G30200071,<creatures>,0,0,0,1,0,1,0,2,0,0
G3S2,G30200072,did,0,0,0,0,0,0,0,0,0,1
G3S2,G30200073,not,0,0,0,0,0,0,0,0,0,1
G3S2,G30200074,<return>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200075,back.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200076,"Soon,",0,1,0,1,1,1,1,5,1,0
G3S2,G30200077,his,0,0,0,0,0,0,0,0,0,1
G3S2,G30200078,<sound>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200079,became,0,0,0,0,0,0,0,0,0,1
G3S2,G30200080,<harsh>.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200081,Days,0,0,0,0,0,0,0,0,0,1
G3S2,G30200082,<passed>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200083,by.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200084,The,0,0,0,0,0,0,0,0,0,1
G3S2,G30200085,<bird>,0,0,0,0,0,0,0,0,0,1
G3S2,G30200086,was,0,0,0,0,0,0,0,0,0,1
G3S2,G30200087,very,0,0,0,0,0,0,0,0,0,1
G3S2,G30200088,<sorrowful>.,1,1,1,1,1,1,1,7,1,0
G3S2,G30200089,He,0,0,0,0,0,0,0,0,0,1
G3S2,G30200090,did,0,0,0,0,0,0,0,0,0,1
